running ljmd with optimizations
LJMD version 1.200
Startup time:      0.005s
Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.43323663          20.86971328        -158.26635748        -137.39664420
     200          59.79291673          19.07075200        -156.47936252        -137.40861052
     300          57.64514280          18.38572665        -155.78652892        -137.40080228
     400          60.30123889          19.23287966        -156.54009116        -137.30721150
     500          61.72762728          19.68782150        -157.10161687        -137.41379537
     600          57.14347223          18.22572049        -155.66135485        -137.43563437
     700          59.33906643          18.92599796        -156.26728969        -137.34129173
     800          59.75647587          19.05912931        -156.36554426        -137.30641495
     900          54.35607344          17.33668891        -154.79957079        -137.46288188
    1000          58.38087656          18.62038648        -155.96230669        -137.34192021
    1100          59.80933564          19.07598876        -156.35932099        -137.28333224
    1200          59.35800355          18.93203789        -156.26587665        -137.33383876
    1300          62.28306286          19.86497583        -157.10909906        -137.24412324
    1400          56.93168792          18.15817258        -155.44501733        -137.28684474
    1500          58.26383349          18.58305599        -155.91700555        -137.33394956
    1600          57.40448498          18.30896964        -155.68941538        -137.38044574
    1700          62.93329516          20.07236526        -157.42260553        -137.35024027
    1800          53.45890135          17.05053885        -154.52525666        -137.47471781
    1900          59.48052540          18.97111582        -156.30527788        -137.33416206
    2000          62.75114395          20.01426874        -157.30132634        -137.28705761
    2100          57.86465886          18.45574056        -155.66814504        -137.21240447
    2200          60.48709290          19.29215718        -156.59447068        -137.30231349
    2300          53.81193894          17.16313902        -154.43944722        -137.27630821
    2400          59.52572195          18.98553111        -156.33952787        -137.35399675
    2500          58.92686579          18.79452793        -156.03041539        -137.23588745
    2600          61.65941056          19.66606400        -156.94491183        -137.27884783
    2700          58.81987818          18.76040459        -156.07031130        -137.30990671
    2800          53.15475446          16.95353221        -154.26693033        -137.31339812
    2900          54.95193282          17.52673628        -154.82877242        -137.30203614
    3000          55.99963574          17.86089764        -155.23428956        -137.37339192
    3100          56.97369997          18.17157219        -155.46229992        -137.29072773
    3200          54.82661025          17.48676506        -154.82426019        -137.33749513
    3300          58.17829049          18.55577233        -155.99088337        -137.43511104
    3400          57.28774496          18.27173579        -155.64133246        -137.36959667
    3500          55.43540563          17.68093832        -155.09610795        -137.41516963
    3600          55.08699898          17.56981518        -155.00137959        -137.43156441
    3700          56.84786030          18.13143604        -155.56336020        -137.43192416
    3800          51.62424794          16.46538225        -153.98194728        -137.51656503
    3900          52.18937124          16.64562644        -154.10759295        -137.46196651
